Sample_No,Sample_date,SourceNo,Rep,SingleSamp,Town,arsenic,fluoride,manganese,nitrate,nitrite,uranium,Latitude,Longitude
B024859001,26-Jul-06,152,a,,Augusta,99,,,,,,,
B025189001,14-Jul-06,39,a,Y,Augusta,2.2,,,,,,44.29516915,-69.6595016
B030830001,06-Dec-06,59,a,Y,Augusta,0.78,0.1,0.01,2.4,0.005,0.25,44.37215962,-69.70656941
B031005001,12-Sep-06,37,a,Y,Augusta,3.1,1.77,0.011,0.5,0.005,2.8,44.29072002,-69.66198763
C037878001,23-Aug-07,62,a,Y,Augusta,0.1,0.05,0.0021,0.005,0.005,0.25,44.35491196,-69.64475519
B039146001,13-Dec-06,131,a,Y,Augusta,0.8,0.1,0.18,0.5,0.005,14,44.31359545,-69.73875702
B036185001,18-Oct-06,103,a,Y,Augusta,91,,,,,,,
B039238001,10-Dec-06,91,a,Y,Augusta,25,,,,,,44.34384408,-69.81184017
B021204001,12-Mar-07,4,a,Y,Augusta,0.1,0.1,0.00063,3.9,0.005,0.25,44.36279752,-69.76997971
C023911001,07-Aug-07,109,a,Y,Augusta,1,0.2,0.008,0.005,0.005,1,44.3615675,-69.76546978
C017880001,07-May-07,94,a,Y,Augusta,1.9,0.63,2.7,0.5,0.005,1.6,,
C018644001,04-May-07,18,a,Y,Augusta,0.1,0.1,0.064,2,0.005,1.4,44.31295923,-69.69972217
C021738001,29-May-07,44,a,Y,Augusta,0.71,,,,,,44.36877142,-69.81636864
C001996001,10-Jan-07,115,a,Y,Augusta,2.7,0.25,0.035,0.5,0.005,1.2,44.34846451,-69.76310884
C004905001,11-Apr-07,133,a,Y,Augusta,18,0.57,0.049,0.5,0.005,0.25,44.37109845,-69.79600716
C005599001,13-Mar-07,51,a,Y,Augusta,58,0.76,0.057,0.5,0.005,0.25,,
C019813001,31-May-07,35,a,Y,Augusta,3.7,0.1,0.0094,1,0.005,2.5,44.38084164,-69.80456238
C010889001,27-Mar-07,105,a,Y,Augusta,0.1,0.55,0.047,0.5,0.005,13,44.32180398,-69.65103315
C011611001,29-Mar-07,29,a,,Augusta,0.9,,,,,,44.34937938,-69.78057849
B041454001,03-Jan-07,38,a,Y,Augusta,0.93,,,,,,44.37720111,-69.7838971
C000614001,05-Jan-07,124,a,Y,Augusta,3.7,,,,,,44.34787803,-69.76425989
C014598001,02-May-07,32,a,,Augusta,18,0.86,0.0077,0.5,0.005,1.5,44.3725499,-69.80230486
C016147001,31-May-07,8,a,Y,Augusta,0.1,0.71,0.0034,0.5,0.005,0.25,44.38250354,-69.78446404
C016384001,18-May-07,139,a,Y,Augusta,13,0.1,0.0048,0.5,0.005,0.25,44.37663527,-69.74058573
C018841001,08-May-07,126,a,Y,Augusta,2.6,0.1,0.0078,2.4,0.005,2.3,44.34759515,-69.74877057
C020597001,22-May-07,108,a,Y,Augusta,48,1.14,0.03,0.5,0.005,0.25,44.37264036,-69.77817303
C020952001,05-Jun-07,36,a,Y,Augusta,10,0.74,0.0006,0.5,0.005,62,44.31552723,-69.75940237
C024526001,18-Jun-07,34,a,Y,Augusta,0.61,0.18,0.0063,0.6,0.005,28,44.31073819,-69.69463736
C026139001,25-Jun-07,114,a,Y,Augusta,2.4,1.2,0.032,0.15,0.005,,44.34227786,-69.78057933
C029920002,28-Jun-07,149,a,,Augusta,0.1,,0.013,,,,44.31414032,-69.78394392
C030377001,09-Jul-07,107,a,,Augusta,22,0.9,0.0027,2.3,0.005,65,,
C033174001,30-Oct-07,40,a,Y,Augusta,18,0.6,0.25,0.04,0.005,8.4,44.28808185,-69.67778477
C033471001,06-Aug-07,30,a,Y,Augusta,1.7,0.05,0.0035,0.32,0.005,49,44.33483821,-69.69574519
C025553001,22-Jun-07,92,a,,Augusta,3.2,,,,,,44.33320531,-69.66834332
C037209001,20-Aug-07,48,a,Y,Augusta,2,0.1,0.0011,0.41,0.005,8.6,44.33274555,-69.66431229
C036031001,20-Aug-07,147,a,Y,Augusta,2.6,0.2,0.00025,0.005,0.005,0.25,44.3150502,-69.66740736
C036109001,27-Aug-07,24,a,Y,Augusta,21,0.3,0.00025,0.04,0.005,0.25,44.36199829,-69.81592302
C036773001,15-Aug-07,33,a,Y,Augusta,2.2,0.1,0.0022,0.22,0.005,5.5,44.3668374,-69.74637334
C042465001,14-Oct-07,43,a,Y,Augusta,0.1,0.05,0.0011,0.06,0.005,0.25,,
C043339001,15-Oct-07,141,a,Y,Augusta,46,1.6,0.0051,0.005,0.005,0.61,44.35484764,-69.81654529
C034901001,06-Aug-07,148,a,Y,Augusta,1.5,,,,0.005,,,
C037273001,24-Oct-07,68,a,Y,Augusta,22,,,,,,44.35692445,-69.81650875
C043077001,18-Sep-07,65,a,,Augusta,0.1,,,,,,44.37169449,-69.79746591
C049494001,16-Oct-07,134,a,Y,Augusta,0.88,0.1,0.028,0.14,0.005,1.3,44.31007885,-69.70961113
C019553001,10-Jan-08,97,a,Y,Augusta,3.3,0.3,0.002,0.36,0.005,3.7,44.28527298,-69.67784914
C053958001,13-Nov-07,151,a,Y,Augusta,14,0.1,0.00025,1.5,0.005,31,44.28793388,-69.67746039
C054324001,16-Nov-07,52,a,,Augusta,15,0.8,0.0019,1.3,0.005,120,44.34744053,-69.78281986
D004498001,28-Jan-08,96,a,Y,Augusta,1.5,0.2,0.042,0.33,0.005,4.1,44.30330248,-69.71570712
C051479001,05-Nov-07,55,a,Y,Augusta,2,,,,,,44.34551749,-69.72199564
C055808001,28-Nov-07,50,a,Y,Augusta,0.1,0.05,0.27,1.4,0.005,0.25,44.3038762,-69.7152182
C052023001,23-Jul-08,116,a,Y,Augusta,0.1,0.05,0.0026,1.6,0.005,0.25,,
D022077001,28-May-08,53,a,Y,Augusta,7.9,0.1,0.034,0.5,0.025,13,,
D000064001,29-Jul-08,71,a,,Augusta,23,0.5,0.0041,0.005,0.005,0.77,44.37625608,-69.78227212
D000142001,25-Feb-08,3,a,,Augusta,2.6,,,,,,44.37318794,-69.78018817
D000146001,30-Jan-08,73,a,Y,Augusta,0.1,,,,,,44.33221163,-69.6893052
D000149001,06-Mar-08,11,a,,Augusta,0.1,,,,,,44.37079008,-69.78320943
D006443001,26-Feb-08,81,a,Y,Augusta,0.52,0.2,0.0016,0.44,0.01,4.6,44.31181574,-69.74009262
D024596001,09-Jun-08,75,a,Y,Augusta,5.8,1.1,0.046,0.005,0.025,5.1,44.31649076,-69.66642364
D007124001,25-Feb-08,27,a,Y,Augusta,0.65,0.1,0.03,1.5,0.01,0.91,44.30672118,-69.7115841
D010058001,22-May-08,74,a,Y,Augusta,0.69,0.1,0.0033,0.03,0.01,2.8,,
D017977001,30-Apr-08,132,a,Y,Augusta,0.1,0.05,0.0022,0.25,0.025,0.25,44.33916488,-69.66810289
D021348001,09-Jul-08,125,a,Y,Augusta,3.9,4.1,0.045,0.005,0.025,1.6,44.29485422,-69.65723394
D034170001,03-Aug-08,113,a,Y,Augusta,8.5,0.7,0.12,0.04,0.025,96,,
D037701001,20-Aug-08,144,a,Y,Augusta,0.78,0.1,0.00025,0.64,0.025,27,,
D037627001,14-Oct-08,72,a,Y,Augusta,24,,,,,,44.36640896,-69.81638847
D031185001,07-Jul-08,95,a,Y,Augusta,2.1,0.1,0.0085,0.62,0.025,3.9,44.36799699,-69.74527948
D032911001,21-Jul-08,56,a,,Augusta,1.3,1.6,,,0.025,,44.37932138,-69.73979849
D036095001,05-Aug-08,98,a,Y,Augusta,1.4,0.6,0.035,0.005,0.025,32,44.32795832,-69.75031569
D038075001,22-Sep-08,118,a,Y,Augusta,1.3,0.2,0.00025,0.06,0.025,9.6,44.30640871,-69.78083367
D038563001,27-Aug-08,49,a,Y,Augusta,2.9,0.5,0.0097,0.005,0.025,0.53,,
D039313001,25-Aug-08,58,a,Y,Augusta,15,0.9,0.036,0.13,0.025,54,44.29566342,-69.76808195
D040448001,10-Sep-08,104,a,Y,Augusta,2.7,0.1,0.00025,0.14,0.025,1.4,44.35089581,-69.7194611
D041905001,08-Sep-08,19,a,Y,Augusta,0.1,0.3,0.92,0.005,0.025,0.25,44.38050815,-69.78633916
D043840001,23-Sep-08,102,a,Y,Augusta,0.1,0.1,0.054,0.61,0.025,0.25,44.31449439,-69.65688063
D043841001,29-Sep-08,46,a,Y,Augusta,4.3,0.7,0.042,0.11,0.025,93,,
D049591001,07-Nov-08,1,a,Y,Augusta,12,0.5,0.0017,,0.025,36,44.34456138,-69.78136978
D052476001,21-Nov-08,129,a,Y,Augusta,0.1,0.05,0.0068,0.02,0.025,0.25,44.29518629,-69.71367857
B025802001,13-Mar-09,145,a,Y,Augusta,1.8,0.2,0.82,5.6,0.005,210,44.3317716,-69.69827377
E000529001,04-Feb-09,83,a,Y,Augusta,2.5,0.2,0.003,0.36,0.025,42,44.33318451,-69.6510787
E004632001,04-Feb-09,60,a,Y,Augusta,1.9,0.8,0.013,0.08,0.025,2.1,44.31314484,-69.77858012
E010008001,19-Mar-09,138,a,Y,Augusta,0.1,0.05,0.00025,,,0.25,44.33626671,-69.7776347
D037624001,22-Jan-09,14,a,,Augusta,18,,,,,,44.3553797,-69.81700562
E012066001,29-Mar-09,25,a,Y,Augusta,0.1,0.05,0.012,0.13,0.025,0.25,44.38847686,-69.80363034
E013242001,02-Apr-09,54,a,Y,Augusta,0.1,0.05,0.021,0.28,0.025,1.8,44.35034298,-69.76339338
E015923001,05-May-09,5,a,Y,Augusta,0.53,0.05,0.00025,0.26,0.025,0.77,44.36202846,-69.71410047
E020469001,11-May-09,78,a,Y,Augusta,2.1,0.2,0.00025,0.83,0.025,48,44.3326346,-69.65139234
E015959001,13-Apr-09,79,a,Y,Augusta,4.3,0.1,0.044,0.005,0.025,6.4,44.30595636,-69.69621414
E017868001,29-Apr-09,16,a,Y,Augusta,0.1,0.05,0.0046,0.6,0.025,2.1,44.33522711,-69.69016515
E020207001,06-May-09,15,a,Y,Augusta,33,1,0.03,0.025,0.025,0.25,44.37255133,-69.77680271
E022859001,18-May-09,12,a,Y,Augusta,0.1,,0.0021,,,0.25,44.34232978,-69.72458272
E026369001,17-Jun-09,47,a,Y,Augusta,0.65,0.05,0.00025,0.025,,0.53,,
E030848001,08-Jul-09,117,a,Y,Augusta,18,0.3,0.2,0.025,,8.7,44.33130511,-69.68935662
A017218001,17-Aug-05,3,b,,Augusta,31,1.43,0.021,0.05,0.005,0.25,44.37318794,-69.78018817
A027872001,29-Nov-05,29,b,,Augusta,0.8,0.1,0.24,4.67,0.005,5.7,44.34937938,-69.78057849
A030027001,15-Dec-05,10,b,,Augusta,0.1,,,,,,44.28419455,-69.68208869
A005427001,20-May-05,65,b,,Augusta,0.1,,,,,,44.37169449,-69.79746591
B011127001,03-Apr-06,6,b,,Augusta,0.7,0.72,0.037,0.05,0.005,1.4,,
B029457001,30-Aug-06,130,b,,Augusta,0.82,0.1,0.1,0.5,0.005,2.1,44.31883868,-69.74098034
B031810001,16-Oct-06,56,b,,Augusta,4.4,,0.83,0.5,,3.3,44.37932138,-69.73979849
B019210001,05-Jun-06,111,b,,Augusta,3.8,,,0.5,,,,
B021239001,11-Jul-06,86,b,,Augusta,0.1,,0.016,,0.005,,44.3572769,-69.77616356
B020720001,14-Jun-06,120,b,,Augusta,18,,,,,,44.37088736,-69.79236841
B010080001,22-Mar-06,112,b,,Augusta,110,,,,,,44.35132482,-69.80204843
B024859002,26-Jul-06,152,b,,Augusta,100,,,,,,,
C025520001,22-Jun-07,92,b,,Augusta,5.1,0.5,0.012,5.3,0.005,1.8,44.33320531,-69.66834332
C029920001,27-Jun-07,149,b,,Augusta,0.1,,,,,,44.31414032,-69.78394392
C039071001,24-Aug-07,14,b,,Augusta,16,0.3,0.18,0.03,0.005,0.25,44.3553797,-69.81700562
C042596001,13-Sep-07,107,b,,Augusta,30,,,,,,,
C052363001,28-Nov-07,57,b,,Augusta,1.7,0.1,0.00025,0.19,0.005,10,44.321955,-69.6677195
C040098001,05-Sep-07,52,b,,Augusta,5.7,,,,,,44.34744053,-69.78281986
C047595001,28-Sep-07,32,b,,Augusta,1.1,,,,,,44.3725499,-69.80230486
B023816001,25-Jul-08,71,b,,Augusta,23,,,,,,44.37625608,-69.78227212
E000508001,20-Feb-09,11,b,,Augusta,0.1,,,,,,44.37079008,-69.78320943
B019208001,05-Jun-06,111,c,,Augusta,3.9,,,,,,,
A017215001,17-Aug-05,3,d,,Augusta,0.1,,,,,,44.37318794,-69.78018817
B008916001,13-Mar-06,3,c,,Augusta,38,,,,,,44.37318794,-69.78018817
B024859003,26-Jul-06,152,c,,Augusta,95,,,,,,,
C040076001,05-Sep-07,52,c,,Augusta,14,,,,,,44.34744053,-69.78281986
D028586001,05-Aug-08,11,c,,Augusta,0.1,,,,,,44.37079008,-69.78320943
B019197001,05-Jun-06,111,d,,Augusta,4.3,1.19,,,,,,
C058139001,23-Jan-08,11,d,,Augusta,27,,0.0044,,,1.9,44.37079008,-69.78320943
A020112001,27-Oct-05,11,e,,Augusta,2.1,0.1,,0.38,0.005,,44.37079008,-69.78320943
B024859004,26-Jul-06,152,d,,Augusta,95,,,,,,,
B014470001,28-Apr-06,3,e,,Augusta,0.1,,,,,,44.37318794,-69.78018817
B024859005,31-Jul-06,152,e,,Augusta,0.1,,,,,,,
B024859006,31-Jul-06,152,f,,Augusta,0.1,,,,,,,
B006820001,23-Feb-06,5,a,Y,Avon,0.1,0.1,0.00025,0.05,0.005,0.25,,
C020265001,04-Jun-07,1,a,Y,Avon,0.1,0.1,0.0016,0.5,0.005,0.25,,
C023062001,06-Jun-07,4,a,Y,Avon,1,0.1,0.29,1,0.005,0.25,,
D048869001,20-Oct-08,3,a,Y,Avon,0.87,0.3,0.0027,0.03,0.025,44,44.80798734,-70.31993363
E022028001,21-May-09,2,a,Y,Avon,1.2,1.1,0.054,0.025,0.025,24,44.80594843,-70.27464267
E001461001,17-Feb-09,6,a,Y,Avon,0.1,0.5,0.00025,0.01,0.025,16,44.80125494,-70.28404654
A026632001,14-Nov-05,5,a,Y,Baileyville,0.5,0.1,0.0012,1.8,0.005,0.25,45.11836036,-67.3914336
B016342001,15-May-06,7,a,Y,Baileyville,17,0.77,0.057,0.5,0.005,5.2,,
B003773001,30-Jan-06,6,a,Y,Baileyville,0.5,0.1,0.014,0.05,0.005,0.25,,
C009946001,16-Apr-07,2,a,Y,Baileyville,0.53,0.1,0.0012,0.5,0.005,0.25,,
C053436001,02-Jun-08,4,a,Y,Baileyville,4.4,0.1,0.025,0.02,0.005,0.25,,
D041362001,06-Oct-08,3,a,Y,Baileyville,2.4,0.1,0.00025,0.02,0.025,0.85,,
D008566001,24-Jun-09,1,a,Y,Baileyville,17,0.3,2.1,0.025,0.01,2.6,,
D012781001,07-Apr-08,999,,,Baileyville,1.4,1.1,0.0068,0.14,0.025,0.25,,
A010705001,06-Jul-05,1,a,Y,Baldwin,1.7,0.1,0.004,0.05,0.005,,,
B008744001,13-Mar-06,5,a,Y,Baldwin,15,0.63,0.029,0.05,0.005,1.3,,
B030208001,19-Sep-06,9,a,Y,Baldwin,20,0.1,0.0027,0.5,0.005,7.9,,
C003455001,27-Feb-07,10,a,Y,Baldwin,14,0.31,0.00085,0.5,0.005,7.9,,
C043499001,26-Sep-07,4,a,Y,Baldwin,0.9,0.05,0.075,2.2,0.005,0.7,,
C050216001,19-Nov-07,11,a,,Baldwin,0.1,0.05,,0.58,0.005,3,,
D007456001,20-Feb-08,12,a,Y,Baldwin,1.2,0.6,0.049,0.005,0.01,0.67,,
C057251001,17-Dec-07,8,a,Y,Baldwin,3.9,0.8,0.17,0.005,0.005,1.2,,
D002375001,21-Jan-08,14,a,Y,Baldwin,4.1,0.1,0.0065,0.15,0.005,1.4,,
D034156001,28-Jul-08,3,a,Y,Baldwin,0.1,0.05,0.0031,2.2,0.025,1.2,,
D034747001,30-Jul-08,7,a,Y,Baldwin,0.1,0.05,0.05,0.56,0.025,0.25,,
D041363001,08-Sep-08,13,a,Y,Baldwin,3.8,0.5,0.0071,1.6,0.025,110,,
D044178001,04-Nov-08,6,a,Y,Baldwin,0.1,0.6,0.054,0.005,0.025,0.82,,
D052570001,12-Nov-08,2,a,,Baldwin,0.1,,,,,,,
D024348001,26-Aug-08,11,b,,Baldwin,0.1,,0.034,,,,,
D025350001,12-Jun-08,2,b,,Baldwin,0.58,1,0.44,0.16,0.025,520,,
A002211001,04-May-05,23,a,Y,Bangor,0.1,1.15,0.004,0.23,0.005,0.25,44.81214213,-68.74218592
A016644001,08-Aug-05,17,a,Y,Bangor,0.7,0.1,0.00025,2.88,0.005,2.6,44.84458776,-68.77699282
A027328001,21-Nov-05,5,a,Y,Bangor,0.6,0.1,0.00025,0.48,0.005,1.7,44.8640834,-68.77106678
A016485001,09-Aug-05,13,a,,Bangor,13,,0.0046,,,1.1,44.863298,-68.86036946
A019959001,13-Sep-05,9,a,Y,Bangor,0.1,0.1,0.077,0.56,0.005,0.25,44.85660906,-68.73024902
A020105001,19-Sep-05,21,a,Y,Bangor,7.6,0.1,0.019,0.78,0.005,0.5,,
B014850001,02-May-06,24,a,Y,Bangor,0.5,1.18,0.006,0.1,0.005,0.5,,
B017522001,30-May-06,28,a,Y,Bangor,9.6,1.93,0.0092,0.5,0.005,26,,
B020008001,26-Jun-06,2,a,Y,Bangor,0.1,0.1,0.00025,1.2,0.005,0.5,44.86523328,-68.79521717
B031106001,12-Sep-06,1,a,,Bangor,1.5,,,,0.005,,,
B025002001,06-Sep-06,32,a,Y,Bangor,0.1,0.58,0.029,0.5,0.005,4.4,,
B035465001,04-Dec-06,14,a,Y,Bangor,0.1,1.19,0.0089,0.5,0.005,0.71,,
B040663001,18-Dec-06,8,a,Y,Bangor,1.4,0.1,0.024,1.7,0.005,1.1,,
C006124001,20-Feb-07,6,a,Y,Bangor,0.54,0.1,0.0017,0.5,0.005,2.3,,
C006371001,21-Feb-07,4,a,Y,Bangor,0.1,0.1,0.0062,1,0.005,0.25,44.85807731,-68.73052921
C023655001,18-Jun-07,27,a,Y,Bangor,0.9,0.05,0.017,3,0.005,2,44.80920873,-68.75633054
C030508001,13-Aug-07,3,a,Y,Bangor,2.9,0.1,0.0028,0.46,0.005,1.9,44.81706146,-68.79121683
C025014001,25-Jun-07,7,a,Y,Bangor,0.1,0.05,0.0079,0.3,0.005,0.25,44.86051593,-68.72712741
C031170001,16-Jul-07,25,a,Y,Bangor,4,0.1,0.0031,0.3,0.005,1.7,44.8476123,-68.73885382
C041020001,18-Sep-07,18,a,Y,Bangor,0.1,0.05,0.0006,2.5,0.005,1.2,44.84538309,-68.74656098
D010078001,12-Mar-08,20,a,,Bangor,21,0.05,0.0071,1.9,0.01,6.5,44.85084089,-68.80584527
D048432001,21-Oct-08,12,a,Y,Bangor,0.1,0.05,0.00025,0.36,0.025,0.25,44.82645649,-68.83005975
D053262001,18-Nov-08,11,a,Y,Bangor,8.1,0.1,0.021,0.01,0.025,1.2,44.86064645,-68.77026619
E006354001,23-Feb-09,26,a,Y,Bangor,0.1,0.05,0.00025,5.6,0.025,0.25,44.86949873,-68.7803556
D026097001,18-Jun-08,16,a,Y,Bangor,0.1,0.1,0.00063,0.51,0.025,4.2,44.85271881,-68.77378096
D049593001,17-Nov-08,22,a,,Bangor,1.9,0.1,0.0009,0.43,0.025,3.8,44.83547174,-68.83653945
B025539001,22-Jun-09,31,a,Y,Bangor,0.1,0.05,0.03,0.025,0.005,0.25,44.79511996,-68.79350172
E006517001,06-Mar-09,30,a,Y,Bangor,4.1,,,,,,44.80213265,-68.7782809
E020524001,26-May-09,29,a,Y,Bangor,34,0.1,0.37,0.025,0.025,0.25,,
E023100001,27-May-09,19,a,Y,Bangor,1.2,0.1,0.0031,0.28,0.025,11,44.83646408,-68.74998418
E026828001,23-Jun-09,15,a,Y,Bangor,0.1,0.05,0.0016,4.9,,0.25,,
E027945001,29-Jun-09,10,a,Y,Bangor,1.3,0.05,0.00025,4.5,,0.94,44.85705876,-68.85050094
B025895001,26-Jul-06,13,b,,Bangor,0.1,0.1,,1,0.005,,44.863298,-68.86036946
B031105001,12-Sep-06,1,b,,Bangor,1,0.1,0.0021,2.5,,6.2,,
C002755001,22-Jan-07,22,b,,Bangor,2.1,,,,,,44.83547174,-68.83653945
D015097001,07-Apr-08,20,b,,Bangor,0.98,,,,,,44.85084089,-68.80584527
B006222001,13-Feb-06,19,a,Y,Bar Harbor,8.4,0.74,0.061,0.05,0.005,1.1,44.40832595,-68.31152511
A013968001,25-Jul-05,13,a,Y,Bar Harbor,0.1,0.1,0.005,0.71,0.005,0.25,,
A027926001,07-Dec-05,23,a,Y,Bar Harbor,2.1,0.49,0.0013,0.05,0.005,20,,
A009706001,22-Jun-05,47,a,Y,Bar Harbor,0.1,0.96,0.0077,0.1,0.005,2.3,44.39555264,-68.30419097
A014760001,26-Jul-05,45,a,Y,Bar Harbor,9.7,0.66,0.028,0.05,0.005,1.1,44.38638721,-68.21408507
A024660001,20-Dec-05,8,a,,Bar Harbor,14,0.86,,,,,44.40556061,-68.3189266
A025037001,15-Nov-05,17,a,Y,Bar Harbor,0.1,0.1,0.018,0.17,0.005,1.1,,
A025217001,25-Oct-05,10,a,Y,Bar Harbor,4.7,0.1,0.053,0.1,0.005,0.25,44.43378808,-68.2586898
A027204001,21-Nov-05,18,a,Y,Bar Harbor,3.6,0.48,0.082,0.05,0.005,0.7,44.40770392,-68.31143035
A030179001,18-Jan-06,40,a,Y,Bar Harbor,13,,,,,,,
B003751001,30-Jan-06,26,a,Y,Bar Harbor,0.1,0.78,0.003,0.28,0.005,2.8,,
B024609001,17-Jul-06,55,a,Y,Bar Harbor,0.1,0.57,0.28,0.5,0.005,0.25,44.41456141,-68.33472093
B014430001,08-May-06,36,a,Y,Bar Harbor,0.7,0.1,0.00025,0.5,0.005,1.5,,
B038706001,27-Nov-06,33,a,Y,Bar Harbor,0.54,1.59,0.00025,0.5,0.005,3.6,44.4026827,-68.28383915
B014886001,04-May-06,29,a,Y,Bar Harbor,3.6,0.9,0.036,0.05,0.005,0.25,,
B014901001,09-May-06,53,a,Y,Bar Harbor,2.3,0.31,0.0082,0.5,0.005,0.6,,
B014907001,05-Sep-06,54,a,Y,Bar Harbor,13,0.1,0.00025,0.5,0.005,1,,
E034596001,15-Jul-09,2,a,Y,Bar Harbor,0.1,0.05,0.11,0.12,,0.25,,
E034598001,15-Jul-09,1,a,Y,Bar Harbor,0.1,0.05,0.017,0.14,,0.25,,
E034604001,15-Jul-09,4,a,Y,Bar Harbor,3.5,0.05,1.1,0.12,,3.4,,
B008038001,27-Mar-06,8,b,,Bar Harbor,7.1,,0.031,0.05,0.005,0.7,44.40556061,-68.3189266
E025973001,22-Jun-09,12,a,Y,Bar Harbor,0.1,,,,,,,
A014852001,08-Aug-05,7,b,,Bar Harbor,0.5,,,,,,44.36451504,-68.1982752
B020022001,11-Jul-06,9,b,,Bar Harbor,4.2,,,,,,44.38598237,-68.2120846
D021698001,17-Jun-08,37,b,,Bar Harbor,5.6,0.3,0.013,,,1.1,,
D056788001,05-Jan-09,34,b,,Bar Harbor,3.1,,,,,,,
D057336001,20-Jan-09,9,c,,Bar Harbor,9.6,0.2,0.00025,0.25,0.025,3.1,44.38598237,-68.2120846
C036076001,13-Aug-07,7,c,,Bar Harbor,0.1,,,,,,44.36451504,-68.1982752
D057335001,27-Jan-09,9,d,,Bar Harbor,2.2,0.05,0.00074,0.18,0.025,1.8,,
D057334001,20-Jan-09,9,e,,Bar Harbor,3.9,0.05,0.00025,0.13,0.025,,44.38598237,-68.2120846
D031814001,09-Dec-08,9,f,,Bar Harbor,17,0.6,,,,,,
D031813001,14-Jul-08,9,g,,Bar Harbor,1.9,,,0.51,,,,
B009461001,04-Oct-06,6,a,Y,Baring Plt,2.3,0.1,0.01,0.5,0.005,1.3,,
B036442001,25-Oct-06,4,a,Y,Baring Plt,5.9,1.51,0.014,0.5,0.005,5.3,,
C018936001,18-Jun-07,2,a,Y,Baring Plt,30,1.1,0.071,0.005,0.005,4.2,45.13850445,-67.30598264
E009992001,17-Mar-09,5,a,Y,Baring Plt,5.2,0.05,0.0052,0.08,0.025,2.3,,
E024198001,22-Jun-09,3,a,Y,Baring Plt,9.8,0.2,0.32,0.025,0.15,6,,
E017789001,27-Apr-09,1,a,,Baring Plt,0.1,,,,,,,
E017776001,27-Apr-09,1,b,,Baring Plt,14,,0.00059,0.1,,0.7,,
E033839001,20-Jul-09,1,c,,Baring Plt,0.1,,,,,,,
E005603001,12-Mar-09,1,d,,Baring Plt,1,,,,,,,
E005602001,12-Mar-09,1,e,,Baring Plt,150,1.1,,,,,,
E005600001,18-Feb-09,1,h,,Baring Plt,0.1,,,,0.025,,,
E024278001,04-Jun-09,1,f,,Baring Plt,16,,,,,,,
E017790001,12-May-09,1,g,,Baring Plt,4.3,,,,,,,
E010501001,23-Mar-09,1,i,,Baring Plt,150,,,,,,,
E011148001,19-Mar-09,1,j,,Baring Plt,0.1,,,,,,,
C029483001,17-Jul-07,1,a,Y,Barnard Twp,0.1,0.3,0.00025,0.08,0.005,1.5,,
A009176001,28-Jun-05,1,,,Bath,3.6,0.2,0.23,0.05,0.005,0.25,,
A028971001,13-Dec-05,15,,,Bath,3,0.1,0.005,0.1,0.005,0.005,43.96379271,-69.84960176
A029377001,07-Dec-05,6,,,Bath,0.1,0.55,0.13,0.05,0.005,0.25,43.9312936,-69.86136173
A030543001,03-Jan-05,11,,,Bath,5.2,,,,,,43.92443544,-69.84026248
B013530001,08-May-06,9,,,Bath,1.7,1.03,0.01,0.5,0.005,0.25,43.93814446,-69.85014312
B013532001,08-May-06,10,,,Bath,0.1,0.1,0.0066,0.5,0.005,0.8,43.93755711,-69.85040037
B041293001,26-Dec-06,14,,,Bath,0.57,,,0.5,,,43.93791024,-69.83993908
B038298001,15-Nov-06,5,,,Bath,1.4,0.1,0.00025,2.3,0.005,0.25,43.96649273,-69.84006731
B013965001,25-Apr-06,13,,,Bath,1.8,,,,,,43.97843895,-69.8329871
C022813001,11-Jun-07,2,,,Bath,1.1,0.1,0.11,0.5,0.005,0.25,43.93392784,-69.83066549
B037830001,09-Jan-07,7,,,Bath,0.54,0.1,0.00025,0.5,0.005,0.25,,
C037278001,20-Aug-07,17,,,Bath,2.8,0.1,0.54,0.005,0.005,0.25,43.93498808,-69.8340938
C028719001,09-Jul-07,12,,,Bath,0.94,0.2,0.00025,0.01,0.005,0.25,43.9766916,-69.83308991
D009088001,03-Mar-08,14,,,Bath,4.5,0.1,0.71,,0.01,1.2,43.93791024,-69.83993908
C047549001,02-Oct-07,4,,,Bath,0.1,0.05,0.00084,,0.005,4.5,43.93983175,-69.85734999
C049026001,15-Oct-07,18,,,Bath,0.54,0.8,0.0073,0.005,0.005,0.25,43.95790857,-69.84474349
D031691001,15-Jul-08,3,,,Bath,0.1,1,0.15,0.12,0.025,0.25,43.94676175,-69.81462152
E022025001,26-May-09,11,,,Bath,6,0.2,0.00078,0.025,0.025,0.25,43.92443544,-69.84026248
C022810001,06-Jun-07,19,,,Bath,27,,,,,,43.97517433,-69.83406218
C030370001,11-Jul-07,8,,,Bath,3.6,,,,,,43.97217811,-69.83451922
C036626001,08-Oct-08,16,,,Bath,17,,,,,,43.97190894,-69.83387092
D018680001,05-May-08,1,a,Y,Beals,1.3,0.1,0.74,2.3,0.025,4.3,,
D044687001,17-Nov-08,3,a,Y,Beals,0.1,0.1,0.0029,0.01,0.025,0.52,,
E017661001,27-Apr-09,2,a,Y,Beals,4.9,0.1,0.24,0.025,0.025,11,,
C037759001,27-Aug-07,2,a,Y,Beaver Cove,0.82,0.05,0.058,0.18,0.005,0.25,,
C038227001,27-Aug-07,1,a,Y,Beaver Cove,84,0.2,0.0066,0.07,0.005,5.5,,
